2019-12-24 23:12:37.914 [main] INFO  - Loading §anukkit.yml§f ...
2019-12-24 23:12:38.200 [main] INFO  - Loading §aserver.properties§f ...
2019-12-24 23:12:38.220 [main] INFO  - Selected English (eng) as the base language
2019-12-24 23:12:38.227 [main] INFO  - Starting Minecraft: BE server version §bv1.14.0§r
2019-12-24 23:12:38.249 [main] INFO  - Selected Zlib Provider: 2 (cn.nukkit.utils.ZlibThreadLocal)
2019-12-24 23:12:38.398 [main] INFO  - Opening server on 0.0.0.0:19132
2019-12-24 23:12:38.565 [main] INFO  - This server is running Nukkit version §egit-8088000§f "§b§f" (API 1.0.9)
2019-12-24 23:12:38.570 [main] INFO  - Nukkit is distributed under the LGPL License
2019-12-24 23:12:41.680 [main] INFO  - Loading recipes...
2019-12-24 23:12:42.132 [main] INFO  - Loaded 1320 recipes.
2019-12-24 23:12:42.138 [main] INFO  - Successfully loaded 0 resource packs
2019-12-24 23:12:42.331 [main] INFO  - Loading AutoCleaner v1.0.1
2019-12-24 23:12:42.365 [main] INFO  - Loading CustomEnchantsNK v1.0.0-beta3
2019-12-24 23:12:42.394 [main] INFO  - Loading DiscordChat v2.0-beta
2019-12-24 23:12:42.425 [main] INFO  - Loading EconomyAPI v2.0.1
2019-12-24 23:12:42.472 [main] INFO  - Loading EconomyJob v1.0
2019-12-24 23:12:42.511 [main] INFO  - Loading EssentialsNK v1.8.0
2019-12-24 23:12:42.555 [main] INFO  - Loading Factions v1.7.0
2019-12-24 23:12:42.579 [RakNet Thread #14] INFO  - Epoll Status is false
2019-12-24 23:12:42.601 [main] INFO  - Loading FakeInventories v1.0.3
2019-12-24 23:12:42.641 [main] INFO  - Loading FastAsyncWorldEdit v19.03.29-d13b946-1257-22.0.14
2019-12-24 23:12:42.678 [main] INFO  - Loading GCape v2.2
2019-12-24 23:12:42.727 [main] INFO  - [GCape] Loading GCapes by G.M.
2019-12-24 23:12:42.748 [main] INFO  - Loading KotlinLib v1.1
2019-12-24 23:12:42.768 [main] INFO  - Loading LoveRTP v1
2019-12-24 23:12:42.793 [main] INFO  - Loading MultiWorld v1.0
2019-12-24 23:12:42.823 [main] INFO  - Loading Pets v1.3
2019-12-24 23:12:42.850 [main] INFO  - Loading PlaceholderAPI v1.3.1
2019-12-24 23:12:43.119 [main] INFO  - Loading Pokkit v0.9.1
